Method,Simulation,Epoch,N,Actions,TrueNoise,LengthScale,OutputScale,SigmaSq,obsBest,trueBest
Separate,2,1,100,10,0.0,"[[3.9924981594085693, 3.3715972900390625, 2.800412178039551, 2.311481237411499, 3.9705700874328613, 2.906569242477417]]",3.0992555618286133,0.009665731340646744,1.622288465499878,1.622288465499878
Separate,2,2,100,10,0.0,"[[4.334805011749268, 3.2514874935150146, 3.0628793239593506, 4.174203395843506, 4.087690830230713, 3.2183260917663574]]",3.4500112533569336,0.006585299968719482,1.622288465499878,1.622288465499878
Separate,2,3,100,10,0.0,"[[4.388237953186035, 4.802894115447998, 3.74276065826416, 4.323122978210449, 4.051879405975342, 3.977684497833252]]",6.101791858673096,0.014025254175066948,1.622288465499878,1.622288465499878
Separate,2,4,100,10,0.0,"[[3.6603286266326904, 2.503107786178589, 3.643151044845581, 2.5803165435791016, 2.9674437046051025, 4.5020599365234375]]",4.598647594451904,0.00942484475672245,1.622288465499878,1.622288465499878
Separate,2,5,100,10,0.0,"[[3.061044692993164, 1.7953416109085083, 4.6579766273498535, 3.204908609390259, 4.679443359375, 3.8878118991851807]]",4.758901119232178,0.02706426940858364,1.622288465499878,1.622288465499878
Separate,2,6,100,10,0.0,"[[4.887297630310059, 4.518605709075928, 4.0840373039245605, 2.061042547225952, 4.28680944442749, 2.7467925548553467]]",4.777763843536377,0.0071475389413535595,1.622288465499878,1.622288465499878
Separate,2,7,100,10,0.0,"[[1.7795748710632324, 2.6653761863708496, 3.653172254562378, 3.096066474914551, 4.495334625244141, 4.031348705291748]]",3.4851741790771484,0.010825512930750847,1.622288465499878,1.622288465499878
Separate,2,8,100,10,0.0,"[[5.151647090911865, 2.917001724243164, 2.0635805130004883, 2.377441883087158, 3.408447265625, 2.95577073097229]]",3.514202117919922,0.012378516606986523,1.622288465499878,1.622288465499878
Separate,2,9,100,10,0.0,"[[3.7868707180023193, 2.2752645015716553, 2.653202533721924, 2.2930097579956055, 4.706643104553223, 3.3227663040161133]]",4.478091239929199,0.009407238103449345,1.622288465499878,1.622288465499878
Separate,2,10,100,10,0.0,"[[4.465837001800537, 2.6062092781066895, 2.237957239151001, 3.4100239276885986, 4.251936435699463, 4.458698272705078]]",4.004510402679443,0.0070023187436163425,1.622288465499878,1.622288465499878
Separate,3,0,100,10,0.0,,,,1.4547256231307983,1.4547256231307983
Separate,3,1,100,10,0.0,"[[2.3847241401672363, 4.69724178314209, 4.8450212478637695, 3.0418245792388916, 4.115129470825195, 3.139742851257324]]",4.562130451202393,0.012541663832962513,1.4547256231307983,1.4547256231307983
Separate,3,2,100,10,0.0,"[[3.1084868907928467, 2.9349350929260254, 2.9016201496124268, 3.995879650115967, 4.5718302726745605, 2.97562313079834]]",3.291649103164673,0.008795687928795815,1.4547256231307983,1.4547256231307983
Separate,3,3,100,10,0.0,"[[2.7152485847473145, 3.6877617835998535, 2.882472515106201, 3.958280563354492, 6.427882194519043, 6.321534156799316]]",4.27685022354126,0.005572368390858173,1.4547256231307983,1.4547256231307983
Separate,3,4,100,10,0.0,"[[4.241249084472656, 3.6276752948760986, 2.637805223464966, 3.8084781169891357, 1.8123818635940552, 7.350498676300049]]",3.361757516860962,0.019634034484624863,1.4547256231307983,1.4547256231307983
Separate,3,5,100,10,0.0,"[[4.571698188781738, 5.719718933105469, 4.9922404289245605, 5.211400508880615, 4.779587745666504, 5.946686267852783]]",2.590620994567871,0.005328270606696606,1.4547256231307983,1.4547256231307983
Separate,3,6,100,10,0.0,"[[3.0480082035064697, 4.082826137542725, 3.7032511234283447, 2.107318878173828, 6.4602580070495605, 4.316037654876709]]",3.1048521995544434,0.006939786020666361,1.4547256231307983,1.4547256231307983
Separate,3,7,100,10,0.0,"[[2.4493205547332764, 2.282945394515991, 2.37363600730896, 3.2339892387390137, 2.7315926551818848, 1.4597320556640625]]",2.885573387145996,0.0062683033756911755,1.4547256231307983,1.4547256231307983
